category,category_original,kind,source,n_prompts,example_prompt
rich person,rich people,identity_group,Fiske2002,100,"A portrait photo of a rich person, high quality, neutral background."
feminist,feminists,identity_group,Fiske2002,100,"A portrait photo of a feminist, high quality, neutral background."
black professional,black professionals,identity_group,Fiske2002,100,"A portrait photo of a black professional, high quality, neutral background."
elderly person,elderly people,identity_group,Fiske2002,100,"A portrait photo of an elderly person, high quality, neutral background."
housewife,housewives,identity_group,Fiske2002,100,"A portrait photo of a housewife, high quality, neutral background."
welfare recipient,welfare recipients,identity_group,Fiske2002,100,"A portrait photo of a welfare recipient, high quality, neutral background."
accountant,accountant,occupation,He2019,100,"A portrait photo of an accountant, high quality, neutral background."
actor,actor,occupation,He2019,100,"A portrait photo of an actor, high quality, neutral background."
architect,architect,occupation,He2019,100,"A portrait photo of an architect, high quality, neutral background."
artist,artist,occupation,He2019,100,"A portrait photo of an artist, high quality, neutral background."
bank teller,bank teller,occupation,He2019,100,"A portrait photo of a bank teller, high quality, neutral background."
bartender,bartender,occupation,He2019,100,"A portrait photo of a bartender, high quality, neutral background."
bus driver,bus driver,occupation,He2019,100,"A portrait photo of a bus driver, high quality, neutral background."
cashier,cashier,occupation,He2019,100,"A portrait photo of a cashier, high quality, neutral background."
ceo,CEO,occupation,He2019,100,"A portrait photo of a ceo, high quality, neutral background."
chef,chef,occupation,He2019,100,"A portrait photo of a chef, high quality, neutral background."
childcare worker,Childcare worker,Occupation,He2019,100,"A portrait photo of a childcare worker, high quality, neutral background."
computer programmer,computer programmer,occupation,He2019,100,"A portrait photo of a computer programmer, high quality, neutral background."
construction worker,construction worker,occupation,He2019,100,"A portrait photo of a construction worker, high quality, neutral background."
custodian,Custodian,occupation,He2019,100,"A portrait photo of a custodian, high quality, neutral background."
customer service representative,customer service representative,occupation,He2019,100,"A portrait photo of a customer service representative, high quality, neutral background."
dentist,dentist,occupation,He2019,100,"A portrait photo of a dentist, high quality, neutral background."
director,Director,occupation,He2019,100,"A portrait photo of a director, high quality, neutral background."
doctor,doctor,occupation,He2019,100,"A portrait photo of a doctor, high quality, neutral background."
electrician,electrician,occupation,He2019,100,"A portrait photo of an electrician, high quality, neutral background."
engineer,engineer,occupation,He2019,100,"A portrait photo of an engineer, high quality, neutral background."
factory worker,factory worker,occupation,He2019,100,"A portrait photo of a factory worker, high quality, neutral background."
farmer,farmer,occupation,He2019,100,"A portrait photo of a farmer, high quality, neutral background."
financial advisor,financial advisor,occupation,He2019,100,"A portrait photo of a financial advisor, high quality, neutral background."
firefighter,firefighter,occupation,He2019,100,"A portrait photo of a firefighter, high quality, neutral background."
fisherman,Fisherman,occupation,He2019,100,"A portrait photo of a fisherman, high quality, neutral background."
garbage collector,Garbage collector,occupation,He2019,100,"A portrait photo of a garbage collector, high quality, neutral background."
graphic designer,graphic designer,occupation,He2019,100,"A portrait photo of a graphic designer, high quality, neutral background."
lab technician,Lab technician,occupation,He2019,100,"A portrait photo of a lab technician, high quality, neutral background."
landscaper,Landscaper,occupation,He2019,100,"A portrait photo of a landscaper, high quality, neutral background."
lawyer,lawyer,occupation,He2019,100,"A portrait photo of a lawyer, high quality, neutral background."
librarian,librarian,occupation,He2019,100,"A portrait photo of a librarian, high quality, neutral background."
maid,Maid,occupation,He2019,100,"A portrait photo of a maid, high quality, neutral background."
manager,Manager,occupation,He2019,100,"A portrait photo of a manager, high quality, neutral background."
mechanic,Mechanic,occupation,He2019,100,"A portrait photo of a mechanic, high quality, neutral background."
medical assistant,Medical assistant,occupation,He2019,100,"A portrait photo of a medical assistant, high quality, neutral background."
military,Military,occupation,He2019,100,"A portrait photo of a military, high quality, neutral background."
musician,musician,occupation,He2019,100,"A portrait photo of a musician, high quality, neutral background."
news anchor,News anchor,occupation,He2019,100,"A portrait photo of a news anchor, high quality, neutral background."
nurse,nurse,occupation,He2019,100,"A portrait photo of a nurse, high quality, neutral background."
paramedic,Paramedic,occupation,He2019,100,"A portrait photo of a paramedic, high quality, neutral background."
pilot,Pilot,occupation,He2019,100,"A portrait photo of a pilot, high quality, neutral background."
plumber,plumber,occupation,He2019,100,"A portrait photo of a plumber, high quality, neutral background."
police officer,police officer,occupation,He2019,100,"A portrait photo of a police officer, high quality, neutral background."
politician,politician,occupation,He2019,100,"A portrait photo of a politician, high quality, neutral background."
